NACA2412
0.298419 -0.041325
0.305548 -0.041145
0.312725 -0.040954
0.319947 -0.040752
0.327214 -0.040539
0.334524 -0.040316
0.341874 -0.040084
0.349264 -0.039843
0.356691 -0.039594
0.364153 -0.039337
0.371650 -0.039073
0.379179 -0.038802
0.386739 -0.038526
0.394327 -0.038244
0.401958 -0.037956
0.409661 -0.037659
0.417386 -0.037349
0.425133 -0.037028
0.432899 -0.036696
0.440681 -0.036354
0.448480 -0.036001
0.456292 -0.035639
0.464115 -0.035267
0.471948 -0.034886
0.479789 -0.034498
0.487635 -0.034101
0.495486 -0.033697
0.503338 -0.033286
0.511191 -0.032869
0.519041 -0.032445
0.526888 -0.032016
0.534729 -0.031581
0.542563 -0.031142
0.550387 -0.030698
0.558199 -0.030250
0.565998 -0.029799
0.573782 -0.029344
0.581548 -0.028886
0.589296 -0.028426
0.597022 -0.027963
0.604725 -0.027498
0.612403 -0.027032
0.620054 -0.026564
0.627676 -0.026096
0.635268 -0.025627
0.642827 -0.025157
0.650352 -0.024687
0.657840 -0.024218
0.665291 -0.023749
0.672701 -0.023280
0.680069 -0.022813
0.687394 -0.022347
0.694673 -0.021882
0.701905 -0.021418
0.709087 -0.020957
0.716219 -0.020497
0.723297 -0.020040
0.730321 -0.019585
0.737289 -0.019133
0.744199 -0.018683
0.751048 -0.018236
0.757837 -0.017793
0.764561 -0.017352
0.771221 -0.016915
0.777814 -0.016482
0.784339 -0.016052
0.790794 -0.015626
0.797177 -0.015204
0.803487 -0.014786
0.809721 -0.014372
0.815880 -0.013963
0.821960 -0.013558
0.827961 -0.013158
0.833881 -0.012762
0.839718 -0.012371
0.845471 -0.011985
0.851138 -0.011605
0.856718 -0.011229
0.862210 -0.010858
0.867612 -0.010493
0.872923 -0.010134
0.878141 -0.009780
0.883265 -0.009431
0.888293 -0.009089
0.893225 -0.008752
0.898060 -0.008422
0.902795 -0.008097
0.907429 -0.007779
0.911963 -0.007467
0.916393 -0.007161
0.920720 -0.006862
0.924941 -0.006570
0.929057 -0.006285
0.933065 -0.006006
0.936965 -0.005734
0.940756 -0.005469
0.944437 -0.005212
0.948006 -0.004962
0.951464 -0.004719
0.954808 -0.004483
0.958039 -0.004255
0.961155 -0.004035
0.964155 -0.003823
0.967039 -0.003618
0.969806 -0.003421
0.972455 -0.003233
0.974985 -0.003052
0.977397 -0.002880
0.979688 -0.002716
0.981860 -0.002561
0.983910 -0.002413
0.985838 -0.002275
0.987645 -0.002145
0.989329 -0.002024
0.990890 -0.001911
0.992328 -0.001807
0.993642 -0.001712
0.994832 -0.001626
0.995898 -0.001549
0.996838 -0.001481
0.997654 -0.001421
0.998345 -0.001371
0.998910 -0.001330
0.999350 -0.001298
0.999665 -0.001275
0.999853 -0.001262
0.999916 -0.001257
