t_s,x_m,y_m,z_m,speed_mps,vx_mps,vy_mps,vz_mps
0,0,0,0.2,0,0,0,0
2.43689863465385e-07,6.12121181769322e-12,0,0.20000000000583,6.93776154454101e-05,5.0237718810435e-05,0,4.78479376108822e-05
4.87379726930769e-07,2.44848440801319e-11,0,0.20000000002332,0.000138755203124491,0.000100475417981284,0,9.56958555821783e-05
7.31069590396154e-07,5.50908920013344e-11,0,0.20000000005247,0.000208132763037088,0.000150713097512436,0,0.000143543753913779
9.74759453861538e-07,9.79393507952929e-11,0,0.20000000009328,0.000277510295183046,0.000200950757403783,0,0.000191391632605575
2.19320877118846e-06,4.95817640344266e-10,0,0.200000000472232,0.000624397539407839,0.000452138762259597,0,0.000430630731463655
3.41165808851538e-06,1.19975548379554e-09,0,0.200000001142684,0.00097128408944344,0.000703326276103825,0,0.000669869339310211
4.63010740584231e-06,2.20975228286804e-09,0,0.200000002104635,0.0013181699452705,0.000954513298922761,0,0.000909107456131572
5.84855672316923e-06,3.52580743926398e-09,0,0.200000003358086,0.00166505510686966,0.0012056998307027,0,0.00114834508191407
1.19408033098038e-05,1.46969376395037e-08,0,0.200000013997808,0.00339947050076962,0.00246162512353768,0,0.00234452584476498
1.80330498964385e-05,3.35194370185591e-08,0,0.20000003192492,0.00513386853606876,0.0037175381383415,0,0.00354069432959316
2.41252964830731e-05,5.99932307704159e-08,0,0.200000057139349,0.00686824921034707,0.00497343887340031,0,0.00473685053468903
3.02175430697077e-05,9.41182440786177e-08,0,0.200000089641018,0.00860261252118407,0.0062293273269999,0,0.0059329944583427
6.06787760028808e-05,3.79508984657139e-07,0,0.200000361455364,0.0172741685389992,0.012508585313089,0,0.0119135297951078
9.11400089360538e-05,8.56168985668919e-07,0,0.200000815439511,0.025945290107435,0.018787536005374,0,0.0178937578391389
0.000121601241869227,1.52408888329605e-06,0,0.200001451584093,0.0346159769233947,0.0250661791891998,0,0.023873678376319
0.0001520624748024,2.38325930717877e-06,0,0.200002269879742,0.0432862286834825,0.0313445146497003,0,0.0298532911923203
0.000304368639468265,9.54754089759936e-06,0,0.200009093295559,0.0866309510059425,0.0627315685670907,0,0.0597467319382943
0.000456674804134131,2.14916763207977e-05,0,0.200020469078724,0.129964751250064,0.094110897049454,0,0.089632447383958
0.000608980968799996,3.82144868804374e-05,0,0.200036396050568,0.173287591152904,0.125482472998795,0,0.119510410499181
0.000761287133465861,5.97147897427578e-05,0,0.200056873028291,0.216599432261876,0.156846269182816,0,0.149380594119847
0.00152281795679519,0.000238838689721828,0,0.200227468008243,0.433003354867898,0.31355541266458,0,0.298621681255063
0.00228434878012452,0.000537234858049977,0,0.200511648107406,0.649164330567799,0.470092707192005,0,0.447690936614123
0.00304587960345384,0.000954778792987216,0,0.200909288840515,0.865104062787039,0.626473499559395,0,0.596603715878844
0.00380741042678317,0.001491357979664,0,0.201420277716026,1.0808482001425,0.782715926982085,0,0.745378165362968
0.00668683728999562,0.0045946028046489,0,0.204375358208457,1.89524501416088,1.3725267009168,0,1.30695222520646
0.00956626415320807,0.00939469730052825,0,0.208945984347232,2.70840024414843,1.96145870636701,0,1.86764868905272
0.0124456910164205,0.0158903259049706,0,0.215130844802547,3.52150938586966,2.55035725365738,0,2.42831345453697
0.015325117879633,0.0240826058650207,0,0.2229310628315,4.33576360649708,3.14006456333204,0,2.98978938882506
0.0293552106650721,0.0885896744853622,0,0.284365368024482,8.36376539261101,6.05620562970263,0,5.76844389011419
0.0433853034505111,0.19466747464989,0,0.385442064249994,12.5805754979042,9.10580921713821,0,8.6807325934824
0.0574153962359502,0.345200702356319,0,0.529050037484392,17.1814133626383,12.4268406776922,0,11.8648470664017
0.0714454890213893,0.545585537622373,0,0.720594370242814,22.4674054597142,16.2320549269493,0,15.5339853527579
0.0827637167129214,0.750843427886656,0,0.917074198190664,27.8582262372891,20.1384888339026,0,19.2489489732495
0.0940819444044534,1.00285261848503,0,1.15728415315269,33.6450919705475,24.3872770212952,0,23.1787172465002
0.105400172095985,1.29993670717381,0,1.43857605476265,38.4771651730477,27.9815997826578,0,26.4106477269521
0.116718399787518,1.63084067484798,0,1.74996114054457,41.4011816068006,30.1873746692834,0,28.3333769433788
0.12803662747905,1.97678464024748,0,2.07402896192637,42.1602433697756,30.7962364886055,0,28.7937135350165
0.139354855170582,2.32513605634368,0,2.39910326178618,41.84727928275,30.6229475129829,0,28.5206919443686
0.150673082862114,2.67032840868969,0,2.71997137309386,41.3564154209763,30.3190556791295,0,28.1266414489575
0.161991310553646,3.01166380411465,0,3.03599428862284,40.9481778429618,30.0746239167074,0,27.7897510771047
0.174753670278791,3.39358185963465,0,3.38810071162595,40.4587476790628,29.7771579456099,0,27.3903473588831
0.187516030003936,3.77174478399443,0,3.73515566523825,39.9791024677197,29.4861229922999,0,26.9980959515183
0.200278389729081,4.14623336682175,0,4.07724898685412,39.5089438817149,29.2013189105593,0,26.6127717559128
0.213040749454226,4.51712592555449,0,4.41446772818148,39.0479858834361,28.9225536969745,0,26.2341588239199
0.276852548079952,6.32026595246672,0,6.03034305371516,36.8718557202537,27.6130234026725,0,24.4347024295094
0.340664346705677,8.04393848647115,0,7.53593555174499,34.8891515574147,26.4298525368842,0,22.7753329563984
0.404476145331402,9.6956382644427,0,8.93955508999044,33.0747929974064,25.3561126794887,0,21.2369838161249
0.468287943957128,11.2819474102086,0,10.2484628769902,31.4078829738181,24.3776190481757,0,19.8037067853237
0.603724381704693,14.4576569198166,0,12.7406036313855,28.2826447731744,22.5644097004352,0,17.0515515492425
0.739160819452258,17.4080467306657,0,14.8821734827037,25.6239765549735,21.0442582908527,0,14.6194174807928
0.874597257199823,20.1680476258132,0,16.7114645781814,23.3424131040244,19.7539206892284,0,12.435870171508
1.01003369494739,22.7661706630687,0,18.2589560802994,21.3710967911214,18.6440436925856,0,10.4462152401928
1.20775483629829,26.3135245790497,0,20.0595862305808,18.9599758891007,17.2762057381447,0,7.81110754045646
1.40547597764919,29.6141183150141,0,21.3642185808196,17.0284506566723,16.1418910217928,0,5.42286695459967
1.60319711900008,32.707791916235,0,22.2156395681446,15.5194016084175,15.1817636287106,0,3.21960857951931
1.80091826035098,35.6251551191312,0,22.646450013382,14.3956110455253,14.3490152474795,0,1.15731534235438
