Case,Mass_kg,CG_m,StaticMargin,Range_m,FinalAltitude_m,Stability
CG Forward,0.545,0.494520641558262,-0.103211009174312,16.8333215473443,25.0385952172114,Stable
CG at Centroid,0.345,0.700035713374682,-0.25,9.78397672060328,23.2830577614462,Unstable
