Filename,Name,Type,Has_X,Has_Y,Has_Alpha,Has_CL,Error
amsoil1.dat,RUTAN CANARD AIRFOIL,coordinates,Yes,Yes,No,No,
amsoil2.dat,RUTAN WING AIRFOIL,coordinates,Yes,Yes,No,No,
apex16.dat,Apex 16 (normalized using XFOIL date021206),coordinates,Yes,Yes,No,No,
apex16_NASA_CR-201062.dat,APEX 16,coordinates,Yes,Yes,No,No,
aquilasm.dat,AQUILA 9.3% smoothed,coordinates,Yes,Yes,No,No,
arad10.dat,ARA-D 10% AIRFOIL,coordinates,Yes,Yes,No,No,
arad13.dat,ARA-D 13% AIRFOIL,coordinates,Yes,Yes,No,No,
arad20.dat,ARA-D 20% AIRFOIL,coordinates,Yes,Yes,No,No,
arad6.dat,ARA-D 6% AIRFOIL,coordinates,Yes,Yes,No,No,
as5045.dat,AS5045 (15%) | Ref: http://www.krnet.org/as504x/ [original link: http://amber.aae.uiuc.edu/~ashok/kr2/airfoils/tests/],coordinates,Yes,Yes,No,No,
as5046.dat,AS5046 (16%) | Ref: http://www.krnet.org/as504x/ [original link: http://amber.aae.uiuc.edu/~ashok/kr2/airfoils/tests/],coordinates,Yes,Yes,No,No,
as5048.dat,AS5048 (18%) | Ref: http://www.krnet.org/as504x/ [original link: http://amber.aae.uiuc.edu/~ashok/kr2/airfoils/tests/],coordinates,Yes,Yes,No,No,
as6091.dat,AS6091 | Ananda-Selig | AIAA Paper 2018-0310,coordinates,Yes,Yes,No,No,
as6092.dat,AS6092 | Ananda-Selig | AIAA Paper 2018-0310,coordinates,Yes,Yes,No,No,
as6093.dat,AS6093 | Ananda-Selig | AIAA Paper 2018-0310,coordinates,Yes,Yes,No,No,
as6094.dat,AS6094 | Ananda-Selig | AIAA Paper 2018-0310,coordinates,Yes,Yes,No,No,
as6095.dat,AS6095 | Ananda-Selig | AIAA Paper 2018-0310,coordinates,Yes,Yes,No,No,
as6096.dat,AS6096 | Ananda-Selig | AIAA Paper 2018-0310,coordinates,Yes,Yes,No,No,
as6097.dat,AS6097 | Ananda-Selig | AIAA Paper 2018-0310,coordinates,Yes,Yes,No,No,
as6098.dat,AS6098 | Ananda-Selig | AIAA Paper 2018-0310,coordinates,Yes,Yes,No,No,
as6099.dat,AS6099 | Ananda-Selig | AIAA Paper 2018-0310,coordinates,Yes,Yes,No,No,
atr72sm.dat,Smoothed ATR airfoil coordinates obtained  using AFSMO (Harry Morgan's NASA smoothing program),coordinates,Yes,Yes,No,No,
august160.dat,AUGUST 160,coordinates,Yes,Yes,No,No,
avistar.dat,AVISTAR,coordinates,Yes,Yes,No,No,
b29root.dat,B-29 ROOT AIRFOIL,coordinates,Yes,Yes,No,No,
b29tip.dat,B-29 TIP AIRFOIL,coordinates,Yes,Yes,No,No,
b540ols.dat,BELL 540 AIRFOIL (MODIFIED NACA 0012),coordinates,Yes,Yes,No,No,
b707a.dat,BOEING 707 .08 SPAN AIRFOIL,coordinates,Yes,Yes,No,No,
b707b.dat,BOEING 707 .19 SPAN AIRFOIL,coordinates,Yes,Yes,No,No,
b707c.dat,BOEING 707 .40 SPAN AIRFOIL,coordinates,Yes,Yes,No,No,
b707d.dat,BOEING 707 .54 SPAN AIRFOIL,coordinates,Yes,Yes,No,No,
b707e.dat,BOEING 707 .99 SPAN AIRFOIL,coordinates,Yes,Yes,No,No,
b737a.dat,BOEING 737 ROOT AIRFOIL,coordinates,Yes,Yes,No,No,
b737b.dat,BOEING 737 MIDSPAN AIRFOIL,coordinates,Yes,Yes,No,No,
b737c.dat,BOEING 737 MIDSPAN AIRFOIL,coordinates,Yes,Yes,No,No,
b737d.dat,BOEING 737 OUTBOARD AIRFOIL,coordinates,Yes,Yes,No,No,
bacj.dat,BOEING AIRFOIL J,coordinates,Yes,Yes,No,No,
bacnlf.dat,BOEING HSNLF AIRFOIL,coordinates,Yes,Yes,No,No,
bacxxx.dat,BOEING BACXXX AIRFOIL,coordinates,Yes,Yes,No,No,
bambino6.dat,Bambino 6,coordinates,Yes,Yes,No,No,
be50.dat,BE50 (original),coordinates,Yes,Yes,No,No,
be50sm.dat,BE50 (smoothed),coordinates,Yes,Yes,No,No,
boe103.dat,BOEING 103 AIRFOIL,coordinates,Yes,Yes,No,No,
boe106.dat,BOEING 106 AIRFOIL,coordinates,Yes,Yes,No,No,
