Candidate_thrust_N,Meets_T>=2W,Estimated_hover_power_W
12,0,247.21415418568563
16,0,380.61108924424326
20,0,531.9201678377294
24,0,699.22721931998
28,0,881.1270023269687
32,0,1076.5307287976107
36,1,1284.5624261993212
40,1,1504.49743091178

AUW_kg,1.68
Weight_N,16.475171999999997
Required_thrust_N,32.950343999999994
